"","daytemp","Family","RGR","Population"
"1",10,"35",0.0838541106642868,"N8"
"2",10,"36",0.0896325896325895,"N8"
"3",10,"50",0.0737180022143218,"N9"
"4",10,"52",0.116160530424747,"N9"
"5",10,"54",0.0605830939970925,"N9"
"6",10,"65",0.0747081638085099,"N10"
"7",10,"66",0.06579532539408,"N10"
"8",10,"67",0.0454212454212454,"N10"
"9",10,"81",0.121052993233444,"N12"
"10",10,"82",0.117317786193608,"N12"
"11",10,"84",0.157832821384223,"N12"
"12",10,"137",0.117801117801118,"N16"
"13",10,"139",0.131460376358335,"N16"
"14",10,"140",0.078602141102141,"N16"
"15",10,"147",0.130265567765567,"N18"
"16",10,"148",0.0651801686685408,"N18"
"17",10,"153",0.119564609881511,"N19"
"18",10,"154",0.043859649122807,"N19"
"19",10,"156",0.0965722801788378,"N20"
"20",10,"158",0.116438824333561,"N20"
"21",10,"159",0.0591836734693878,"N20"
"22",10,"161",0.0945424323575582,"N21"
"23",10,"164",0.0529327041385001,"N21"
"24",10,"165",0.0528903103529969,"N21"
"25",10,"168",0.0842485468365752,"N22"
"26",10,"169",0.0310614811962521,"N22"
"27",10,"170",0.0925925925925925,"N22"
"28",10,"182",0.172779534348951,"N23"
"29",10,"183",0.0653138871274571,"N23"
"30",10,"184",0.0384852216748768,"N23"
"31",10,"191",0.101417666303162,"N24"
"32",10,"192",0.0397828863346105,"N24"
"33",10,"193",0.121428571428571,"N24"
"34",10,"202",0.0381683251813122,"N26"
"35",10,"205",0.0989016159823613,"N26"
"36",10,"206",0.053909632034632,"N26"
"37",10,"212",0.0590569561157796,"N27"
"38",10,"216",0.0887721882024647,"N27"
"39",10,"221",0.0449704754998446,"N27"
"40",10,"235",0.215268893627103,"N29"
"41",10,"236",0.0187755102040816,"N29"
"42",10,"237",0.0261882161502475,"N29"
"43",10,"245",0.149170437405731,"N30"
"44",10,"247",0.0622653432957883,"N30"
"45",10,"249",0.148125342090859,"N30"
"46",10,"251",0.0956338437681721,"N31"
"47",10,"252",0.106905252200674,"N31"
"48",10,"253",0.155536995558255,"N31"
"49",10,"256",0.0674915635545557,"N32"
"50",10,"258",0.151127819548872,"N32"
"51",10,"259",0.156079404466501,"N32"
"52",10,"260",0.0983887144601428,"I1"
"53",10,"263",0.0337731551394343,"I1"
"54",10,"264",0.148439601829432,"I1"
